"","Pasos","Dimension","Valor M","Tiempo"
"V244","500","5",43,0.0109169483184814
"V254","500","5",72,0.0132288932800293
"V264","500","5",66,0.0133779048919678
"V274","500","5",64,0.0115630626678467
"V284","500","5",44,0.0149300098419189
"V294","500","5",25,0.0149409770965576
"V304","500","5",58,0.0129320621490479
"V317","500","5",57,0.0108499526977539
"V324","500","5",46,0.00802993774414062
"V334","500","5",56,0.010545015335083
"V344","500","5",51,0.0130610466003418
"V354","500","5",35,0.0150809288024902
"V364","500","5",46,0.0114719867706299
"V374","500","5",54,0.00806689262390137
"V384","500","5",67,0.00958585739135742
"V394","500","5",45,0.00810813903808594
"V404","500","5",24,0.0118939876556396
"V417","500","5",41,0.00913500785827637
"V424","500","5",69,0.0103180408477783
"V434","500","5",48,0.0114459991455078
"V444","500","5",40,0.0108959674835205
"V454","500","5",55,0.0127301216125488
"V464","500","5",35,0.0084681510925293
"V474","500","5",60,0.0173830986022949
"V484","500","5",40,0.0144710540771484
"V494","500","5",37,0.0104501247406006
"V504","500","5",45,0.0116732120513916
"V517","500","5",42,0.0112547874450684
"V524","500","5",33,0.0129058361053467
"V534","500","5",48,0.0127818584442139
"V544","500","5",34,0.00802898406982422
"V554","500","5",36,0.0101850032806396
"V564","500","5",73,0.0089569091796875
"V574","500","5",35,0.0134761333465576
"V584","500","5",45,0.0154588222503662
"V594","500","5",43,0.0137839317321777
"V604","500","5",45,0.0133898258209229
"V617","500","5",34,0.00792098045349121
"V624","500","5",52,0.00903606414794922
"V634","500","5",38,0.00923705101013184
"V644","500","5",23,0.00789690017700195
"V654","500","5",65,0.00905299186706543
"V664","500","5",28,0.00809907913208008
"V674","500","5",48,0.014995813369751
"V684","500","5",36,0.0133588314056396
"V694","500","5",45,0.0110301971435547
"V704","500","5",35,0.00956583023071289
"V717","500","5",50,0.0169169902801514
"V724","500","5",28,0.0158050060272217
"V734","500","5",34,0.0161769390106201
"V744","500","5",61,0.0132999420166016
"V754","500","5",37,0.0102849006652832
"V764","500","5",52,0.0133249759674072
"V774","500","5",39,0.00992703437805176
"V784","500","5",34,0.0135560035705566
"V794","500","5",30,0.0105330944061279
"V804","500","5",48,0.00897097587585449
"V817","500","5",41,0.0149340629577637
"V824","500","5",40,0.0115840435028076
"V834","500","5",57,0.0132119655609131
"V844","500","5",33,0.0159099102020264
"V854","500","5",35,0.0111680030822754
"V864","500","5",71,0.0143489837646484
"V874","500","5",33,0.011742115020752
"V884","500","5",56,0.0142769813537598
"V894","500","5",55,0.0129649639129639
"V904","500","5",55,0.0127689838409424
"V917","500","5",36,0.0092310905456543
"V924","500","5",34,0.013491153717041
"V934","500","5",51,0.0176081657409668
"V944","500","5",37,0.0133190155029297
"V954","500","5",42,0.0149059295654297
"V964","500","5",33,0.00936198234558105
"V974","500","5",47,0.00980210304260254
"V984","500","5",40,0.0089879035949707
"V994","500","5",45,0.00821304321289062
"V1004","500","5",29,0.0104269981384277
"V118","500","6",49,0.013700008392334
"V218","500","6",54,0.0105278491973877
"V318","500","6",43,0.00986599922180176
"V418","500","6",51,0.0117838382720947
"V518","500","6",38,0.0150260925292969
"V618","500","6",60,0.013444185256958
"V718","500","6",52,0.0116989612579346
"V818","500","6",35,0.0102207660675049
"V918","500","6",87,0.0183680057525635
"V105","500","6",40,0.0148329734802246
"V119","500","6",30,0.0162038803100586
"V125","500","6",65,0.0302920341491699
"V135","500","6",78,0.0203619003295898
"V145","500","6",58,0.0207099914550781
"V155","500","6",37,0.017570972442627
"V165","500","6",59,0.0179669857025146
"V175","500","6",63,0.0123000144958496
"V185","500","6",40,0.0123870372772217
"V195","500","6",50,0.0106420516967773
"V205","500","6",49,0.0145630836486816
"V219","500","6",64,0.0103778839111328
"V225","500","6",39,0.0109210014343262
"V235","500","6",36,0.01715087890625
"V245","500","6",29,0.0126850605010986
"V255","500","6",40,0.0157110691070557
"V265","500","6",36,0.0195858478546143
"V275","500","6",42,0.0138211250305176
"V285","500","6",71,0.0141439437866211
"V295","500","6",40,0.0092620849609375
"V305","500","6",68,0.00988888740539551
"V319","500","6",38,0.0107200145721436
"V325","500","6",34,0.00824499130249023
"V335","500","6",75,0.0115420818328857
"V345","500","6",48,0.0116109848022461
"V355","500","6",42,0.0159289836883545
"V365","500","6",69,0.0149450302124023
"V375","500","6",47,0.0119760036468506
"V385","500","6",32,0.0092768669128418
"V395","500","6",53,0.014394998550415
"V405","500","6",48,0.00781702995300293
"V419","500","6",38,0.0130009651184082
"V425","500","6",58,0.0111799240112305
"V435","500","6",31,0.013923168182373
"V445","500","6",32,0.0121810436248779
"V455","500","6",33,0.0112180709838867
"V465","500","6",44,0.0263950824737549
"V475","500","6",50,0.0265641212463379
"V485","500","6",51,0.0163068771362305
"V495","500","6",56,0.0242099761962891
"V505","500","6",41,0.0125820636749268
"V519","500","6",36,0.0108358860015869
"V525","500","6",63,0.0123820304870605
"V535","500","6",41,0.0152740478515625
"V545","500","6",72,0.0151870250701904
"V555","500","6",41,0.0126471519470215
"V565","500","6",82,0.012923002243042
"V575","500","6",66,0.0223860740661621
"V585","500","6",68,0.0106120109558105
"V595","500","6",105,0.0127959251403809
"V605","500","6",51,0.0118730068206787
"V619","500","6",61,0.0108370780944824
"V625","500","6",52,0.0105512142181396
"V635","500","6",70,0.0137450695037842
"V645","500","6",32,0.011110782623291
"V655","500","6",69,0.0103769302368164
"V665","500","6",73,0.0101401805877686
"V675","500","6",44,0.0092928409576416
"V685","500","6",52,0.0134561061859131
"V695","500","6",42,0.0078129768371582
"V705","500","6",56,0.0132970809936523
"V719","500","6",43,0.0102341175079346
"V725","500","6",66,0.00942802429199219
"V735","500","6",54,0.013016939163208
"V745","500","6",53,0.0134990215301514
"V755","500","6",53,0.0149481296539307
"V765","500","6",36,0.0086979866027832
"V775","500","6",39,0.00899100303649902
"V785","500","6",41,0.00896596908569336
"V795","500","6",29,0.00780081748962402
"V805","500","6",57,0.0150811672210693
"V819","500","6",42,0.0164539813995361
"V825","500","6",42,0.0191459655761719
"V835","500","6",39,0.019420862197876
"V845","500","6",57,0.0155560970306396
"V855","500","6",66,0.0203089714050293
"V865","500","6",68,0.0116021633148193
"V875","500","6",36,0.0154469013214111
"V885","500","6",52,0.0131621360778809
"V895","500","6",52,0.00826692581176758
"V905","500","6",62,0.00954294204711914
"V919","500","6",60,0.012488842010498
"V925","500","6",70,0.0126287937164307
"V935","500","6",47,0.00997614860534668
"V945","500","6",52,0.011735200881958
"V955","500","6",47,0.0175540447235107
"V965","500","6",56,0.013437032699585
"V975","500","6",42,0.0102479457855225
"V985","500","6",33,0.0139060020446777
"V995","500","6",34,0.0128569602966309
"V1005","500","6",43,0.0143859386444092
"V120","500","7",70,0.0104520320892334
"V220","500","7",36,0.0123870372772217
"V320","500","7",48,0.0112090110778809
"V420","500","7",76,0.0117800235748291
"V520","500","7",73,0.013185977935791
"V620","500","7",47,0.0155460834503174
"V720","500","7",51,0.0136919021606445
"V820","500","7",48,0.0113179683685303
"V920","500","7",47,0.0106310844421387
"V106","500","7",43,0.0118420124053955
"V1110","500","7",61,0.0227198600769043
"V126","500","7",54,0.0150070190429688
"V136","500","7",61,0.0123050212860107
"V146","500","7",52,0.0103549957275391
"V156","500","7",55,0.030817985534668
"V166","500","7",64,0.0173249244689941
"V176","500","7",37,0.0116419792175293
"V186","500","7",78,0.0138559341430664
"V196","500","7",43,0.011807918548584
"V206","500","7",71,0.0129361152648926
"V2110","500","7",62,0.0134100914001465
"V226","500","7",57,0.0111918449401855
"V236","500","7",47,0.00857710838317871
"V246","500","7",57,0.00951194763183594
"V256","500","7",58,0.0117800235748291
"V266","500","7",58,0.0116851329803467
"V276","500","7",48,0.0143098831176758
"V286","500","7",73,0.0171639919281006
"V296","500","7",56,0.014646053314209
"V306","500","7",49,0.01072096824646
"V3110","500","7",39,0.007781982421875
"V326","500","7",71,0.00910711288452148
"V336","500","7",47,0.00772905349731445
"V346","500","7",45,0.0150811672210693
"V356","500","7",43,0.00866007804870605
"V366","500","7",50,0.0206220149993896
"V376","500","7",58,0.0131921768188477
"V386","500","7",54,0.00987410545349121
"V396","500","7",53,0.0179009437561035
"V406","500","7",33,0.0149581432342529
"V4110","500","7",39,0.0141470432281494
"V426","500","7",46,0.0252299308776855
"V436","500","7",45,0.0116539001464844
"V446","500","7",52,0.00906181335449219
"V456","500","7",65,0.01198410987854
"V466","500","7",35,0.0138330459594727
"V476","500","7",57,0.0132801532745361
"V486","500","7",67,0.00920414924621582
"V496","500","7",35,0.0099952220916748
"V506","500","7",66,0.0111980438232422
"V5110","500","7",32,0.0128200054168701
"V526","500","7",71,0.018686056137085
"V536","500","7",66,0.0177960395812988
"V546","500","7",47,0.0117201805114746
"V556","500","7",65,0.0130980014801025
"V566","500","7",61,0.0225319862365723
"V576","500","7",50,0.0170581340789795
"V586","500","7",40,0.0126309394836426
"V596","500","7",59,0.0121068954467773
"V606","500","7",66,0.0120158195495605
"V6110","500","7",56,0.0131587982177734
"V626","500","7",43,0.00999999046325684
"V636","500","7",83,0.00805997848510742
"V646","500","7",60,0.00892996788024902
"V656","500","7",42,0.00769591331481934
"V666","500","7",67,0.0106971263885498
"V676","500","7",77,0.0119850635528564
"V686","500","7",35,0.0120351314544678
"V696","500","7",55,0.0177168846130371
"V706","500","7",57,0.0101611614227295
"V7110","500","7",60,0.0100729465484619
"V726","500","7",80,0.0127601623535156
"V736","500","7",41,0.00883889198303223
"V746","500","7",69,0.0129048824310303
"V756","500","7",49,0.0115921497344971
"V766","500","7",47,0.0109431743621826
"V776","500","7",55,0.0150680541992188
"V786","500","7",66,0.0089261531829834
"V796","500","7",51,0.00945711135864258
"V806","500","7",51,0.00914096832275391
"V8110","500","7",40,0.0116419792175293
"V826","500","7",50,0.0320451259613037
"V836","500","7",44,0.0137729644775391
"V846","500","7",58,0.0130240917205811
"V856","500","7",71,0.00902509689331055
"V866","500","7",53,0.0105009078979492
"V876","500","7",50,0.0195319652557373
"V886","500","7",56,0.00805187225341797
"V896","500","7",56,0.0112810134887695
"V906","500","7",50,0.0108640193939209
"V9110","500","7",64,0.00794386863708496
"V926","500","7",58,0.0148417949676514
"V936","500","7",60,0.00987386703491211
"V946","500","7",61,0.00923895835876465
"V956","500","7",39,0.014815092086792
"V966","500","7",45,0.00884699821472168
"V976","500","7",59,0.012725830078125
"V986","500","7",56,0.00821208953857422
"V996","500","7",40,0.0102889537811279
"V1006","500","7",45,0.0100860595703125
"V127","500","8",70,0.00908398628234863
"V227","500","8",66,0.0150330066680908
"V327","500","8",62,0.0111870765686035
"V427","500","8",58,0.00891590118408203
"V527","500","8",64,0.0113608837127686
"V627","500","8",51,0.0122518539428711
"V727","500","8",52,0.0129151344299316
"V827","500","8",63,0.00776314735412598
"V927","500","8",49,0.0099799633026123
"V107","500","8",59,0.00866103172302246
"V1111","500","8",72,0.0131378173828125
"V128","500","8",45,0.0107769966125488
"V137","500","8",42,0.0132389068603516
"V147","500","8",68,0.0135459899902344
"V157","500","8",92,0.00920987129211426
"V167","500","8",66,0.0123188495635986
"V177","500","8",36,0.0113141536712646
"V187","500","8",65,0.0111160278320312
"V197","500","8",51,0.0108010768890381
"V207","500","8",52,0.00817990303039551
"V2111","500","8",49,0.0150439739227295
"V228","500","8",39,0.0125439167022705
"V237","500","8",52,0.0109500885009766
"V247","500","8",74,0.016063928604126
"V257","500","8",60,0.0117111206054688
"V267","500","8",57,0.0143570899963379
"V277","500","8",49,0.0162310600280762
"V287","500","8",62,0.0130510330200195
"V297","500","8",68,0.0104019641876221
"V307","500","8",59,0.00778698921203613
"V3111","500","8",46,0.0114109516143799
"V328","500","8",56,0.00812196731567383
"V337","500","8",84,0.0130481719970703
"V347","500","8",51,0.0116398334503174
"V357","500","8",48,0.0145740509033203
"V367","500","8",48,0.0104999542236328
