"","Pasos","Dimension","Valor M","Origen"
"V213","50","1",8,10
"V214","50","1",10,0
"V215","50","1",9,4
"V216","50","1",12,1
"V217","50","1",5,7
"V218","50","1",5,5
"V219","50","1",8,3
"V220","50","1",5,7
"V221","50","1",13,2
"V222","50","1",5,5
"V223","50","1",8,0
"V224","50","1",7,2
"V225","50","1",7,3
"V226","50","1",17,0
"V227","50","1",10,0
"V228","50","1",12,2
"V229","50","1",14,3
"V230","50","1",18,0
"V231","50","1",5,6
"V232","50","1",12,0
"V233","50","1",12,2
"V234","50","1",7,2
"V235","50","1",6,9
"V236","50","1",6,3
"V237","50","1",10,4
"V238","50","1",5,6
"V239","50","1",13,1
"V240","50","1",7,6
"V241","50","1",5,15
"V242","50","1",9,2
"V243","50","1",7,3
"V244","50","1",6,8
"V245","50","1",4,10
"V246","50","1",4,5
"V247","50","1",10,5
"V248","50","1",7,7
"V249","50","1",9,1
"V250","50","1",8,5
"V251","50","1",6,5
"V252","50","1",10,7
"V253","50","1",5,4
"V254","50","1",6,2
"V255","50","1",6,4
"V256","50","1",11,2
"V257","50","1",5,10
"V258","50","1",7,5
"V259","50","1",4,8
"V260","50","1",12,1
"V261","50","1",8,2
"V262","50","1",8,2
"V263","50","1",5,1
"V264","50","1",7,4
"V265","50","1",12,1
"V266","50","1",5,9
"V267","50","1",9,8
"V268","50","1",5,10
"V269","50","1",6,6
"V270","50","1",4,11
"V271","50","1",8,2
"V272","50","1",12,4
"V273","50","1",6,11
"V274","50","1",10,1
"V275","50","1",7,2
"V276","50","1",7,4
"V277","50","1",6,2
"V278","50","1",20,2
"V279","50","1",14,2
"V280","50","1",9,0
"V281","50","1",5,9
"V282","50","1",6,6
"V283","50","1",7,5
"V284","50","1",5,7
"V285","50","1",7,7
"V286","50","1",9,1
"V287","50","1",10,3
"V288","50","1",6,13
"V289","50","1",4,8
"V290","50","1",7,4
"V291","50","1",6,7
"V292","50","1",4,11
"V293","50","1",8,3
"V294","50","1",4,14
"V295","50","1",5,9
"V296","50","1",10,2
"V297","50","1",7,2
"V298","50","1",4,16
"V299","50","1",10,3
"V300","50","1",11,2
"V1100","50","2",6,2
"V2100","50","2",8,1
"V310","50","2",16,0
"V410","50","2",8,0
"V510","50","2",16,0
"V610","50","2",16,1
"V710","50","2",7,2
"V810","50","2",10,2
"V910","50","2",15,0
"V1010","50","2",8,0
"V1110","50","2",15,0
"V1210","50","2",9,0
"V1310","50","2",15,0
"V1410","50","2",13,2
"V1510","50","2",10,1
"V1610","50","2",13,1
"V1710","50","2",11,1
"V1810","50","2",8,3
"V1910","50","2",13,0
"V2010","50","2",8,4
"V2110","50","2",16,0
"V2210","50","2",14,1
"V2310","50","2",10,1
"V2410","50","2",7,2
"V2510","50","2",14,0
"V2610","50","2",7,3
"V2710","50","2",9,0
"V2810","50","2",6,0
"V2910","50","2",12,0
"V301","50","2",13,3
"V311","50","2",12,4
"V321","50","2",7,0
"V331","50","2",8,0
"V341","50","2",11,2
"V351","50","2",10,0
"V361","50","2",7,0
"V371","50","2",12,4
"V381","50","2",10,0
"V391","50","2",10,0
"V401","50","2",9,1
"V411","50","2",12,0
"V421","50","2",7,0
"V431","50","2",6,5
"V441","50","2",13,0
"V451","50","2",13,1
"V461","50","2",12,0
"V471","50","2",12,0
"V481","50","2",12,0
"V491","50","2",17,0
"V501","50","2",7,7
"V511","50","2",20,0
"V521","50","2",6,2
"V531","50","2",12,1
"V541","50","2",9,2
"V551","50","2",6,0
"V561","50","2",10,1
"V571","50","2",10,0
"V581","50","2",15,0
"V591","50","2",14,0
"V601","50","2",19,0
"V611","50","2",12,1
"V621","50","2",11,3
"V631","50","2",10,0
"V641","50","2",11,2
"V651","50","2",10,0
"V661","50","2",9,0
"V671","50","2",8,1
"V681","50","2",9,4
"V691","50","2",10,0
"V701","50","2",9,0
"V711","50","2",8,0
"V721","50","2",12,1
"V731","50","2",16,0
"V741","50","2",6,5
"V751","50","2",11,0
"V761","50","2",7,0
"V771","50","2",12,0
"V781","50","2",12,1
"V791","50","2",13,0
"V801","50","2",13,0
"V811","50","2",10,0
"V821","50","2",7,1
"V831","50","2",7,1
"V841","50","2",5,2
"V851","50","2",13,0
"V861","50","2",4,4
"V871","50","2",10,0
"V881","50","2",8,1
"V891","50","2",11,0
"V901","50","2",13,0
"V911","50","2",13,0
"V921","50","2",12,1
"V931","50","2",12,1
"V941","50","2",11,0
"V951","50","2",16,4
"V961","50","2",12,0
"V971","50","2",9,1
"V981","50","2",6,0
"V991","50","2",13,0
"V1001","50","2",13,0
"V1011","50","2",12,2
"V1021","50","2",11,1
"V1031","50","2",12,0
"V1041","50","2",8,3
"V1051","50","2",14,0
"V1061","50","2",8,0
"V1071","50","2",9,0
"V1081","50","2",7,1
"V1091","50","2",10,0
"V1101","50","2",10,0
"V1111","50","2",7,0
"V1121","50","2",8,0
"V1131","50","2",13,1
"V1141","50","2",4,2
"V1151","50","2",8,1
"V1161","50","2",14,0
"V1171","50","2",9,0
"V1181","50","2",5,2
"V1191","50","2",23,1
"V1201","50","2",7,2
"V1211","50","2",14,2
"V1221","50","2",8,1
"V1231","50","2",10,1
"V1241","50","2",14,3
"V1251","50","2",8,0
"V1261","50","2",6,0
"V1271","50","2",9,1
"V1281","50","2",9,0
"V1291","50","2",12,1
"V1301","50","2",9,1
"V1311","50","2",10,1
"V1321","50","2",10,0
"V1331","50","2",12,4
"V1341","50","2",13,0
"V1351","50","2",8,1
"V1361","50","2",12,2
"V1371","50","2",7,1
"V1381","50","2",8,0
"V1391","50","2",7,2
"V1401","50","2",13,0
"V1411","50","2",13,1
"V1421","50","2",17,1
"V1431","50","2",4,6
"V1441","50","2",7,1
"V1451","50","2",7,0
"V1461","50","2",9,0
"V1471","50","2",10,2
"V1481","50","2",11,4
"V1491","50","2",16,0
"V1501","50","2",9,0
"V1511","50","2",16,0
"V1521","50","2",15,1
"V1531","50","2",6,1
"V1541","50","2",13,0
"V1551","50","2",11,2
"V1561","50","2",18,1
"V1571","50","2",6,2
"V1581","50","2",7,1
"V1591","50","2",14,1
"V1601","50","2",11,1
"V1611","50","2",23,0
"V1621","50","2",8,2
"V1631","50","2",10,0
"V1641","50","2",11,3
"V1651","50","2",10,0
"V1661","50","2",8,0
"V1671","50","2",6,2
"V1681","50","2",12,0
"V1691","50","2",9,0
"V1701","50","2",9,3
"V1711","50","2",16,1
"V1721","50","2",12,4
"V1731","50","2",10,0
"V1741","50","2",10,0
"V1751","50","2",7,0
"V1761","50","2",6,2
"V1771","50","2",17,1
"V1781","50","2",9,3
"V1791","50","2",9,0
"V1801","50","2",13,0
"V1811","50","2",11,1
"V1821","50","2",22,0
"V1831","50","2",10,1
"V1841","50","2",13,0
"V1851","50","2",5,3
"V1861","50","2",7,3
"V1871","50","2",11,2
"V1881","50","2",9,0
"V1891","50","2",6,2
"V1901","50","2",10,0
"V1911","50","2",12,1
"V1921","50","2",11,0
"V1931","50","2",8,1
"V1941","50","2",7,4
"V1951","50","2",8,0
"V1961","50","2",8,0
"V1971","50","2",9,2
"V1981","50","2",13,1
"V1991","50","2",8,0
"V2001","50","2",8,4
"V2011","50","2",12,1
"V2021","50","2",9,0
"V2031","50","2",8,1
"V2041","50","2",18,1
"V2051","50","2",11,0
"V2061","50","2",14,4
"V2071","50","2",4,3
"V2081","50","2",11,0
"V2091","50","2",10,1
"V2101","50","2",9,0
"V2111","50","2",8,1
"V2121","50","2",14,0
"V2131","50","2",12,0
"V2141","50","2",6,4
"V2151","50","2",7,2
"V2161","50","2",14,4
"V2171","50","2",8,2
"V2181","50","2",7,0
"V2191","50","2",11,2
"V2201","50","2",6,6
"V2211","50","2",13,0
"V2221","50","2",9,1
"V2231","50","2",13,0
"V2241","50","2",8,0
"V2251","50","2",9,0
"V2261","50","2",16,1
"V2271","50","2",10,3
"V2281","50","2",10,0
"V2291","50","2",8,2
"V2301","50","2",6,1
"V2311","50","2",9,3
"V2321","50","2",11,1
"V2331","50","2",10,1
"V2341","50","2",11,0
"V2351","50","2",6,1
"V2361","50","2",8,0
"V2371","50","2",10,2
"V2381","50","2",5,2
"V2391","50","2",13,0
"V2401","50","2",15,0
"V2411","50","2",9,3
"V2421","50","2",9,0
"V2431","50","2",9,0
"V2441","50","2",13,0
"V2451","50","2",7,3
"V2461","50","2",11,2
"V2471","50","2",12,0
"V2481","50","2",7,0
"V2491","50","2",9,1
"V2501","50","2",10,2
"V2511","50","2",12,0
"V2521","50","2",14,2
"V2531","50","2",5,1
"V2541","50","2",5,2
"V2551","50","2",12,1
"V2561","50","2",8,0
"V2571","50","2",11,0
"V2581","50","2",13,1
"V2591","50","2",5,3
"V2601","50","2",12,0
"V2611","50","2",14,0
"V2621","50","2",18,0
"V2631","50","2",13,3
"V2641","50","2",10,0
"V2651","50","2",15,2
"V2661","50","2",7,1
"V2671","50","2",6,2
"V2681","50","2",6,2
"V2691","50","2",8,0
"V2701","50","2",6,3
"V2711","50","2",10,1
"V2721","50","2",12,1
"V2731","50","2",9,1
"V2741","50","2",7,0
"V2751","50","2",13,0
"V2761","50","2",17,2
"V2771","50","2",10,0
"V2781","50","2",6,2
"V2791","50","2",5,0
"V2801","50","2",13,0
"V2811","50","2",13,1
"V2821","50","2",6,0
"V2831","50","2",12,1
"V2841","50","2",6,5
"V2851","50","2",7,0
"V2861","50","2",7,2
"V2871","50","2",9,2
"V2881","50","2",15,0
"V2891","50","2",14,0
"V2901","50","2",8,3
"V2911","50","2",11,1
"V2921","50","2",17,0
"V2931","50","2",16,0
"V2941","50","2",11,0
"V2951","50","2",11,3
"V2961","50","2",8,0
"V2971","50","2",19,0
"V2981","50","2",7,0
"V2991","50","2",9,0
"V3001","50","2",8,2
"V1102","50","3",10,1
"V2102","50","3",14,0
"V312","50","3",14,0
"V412","50","3",7,0
"V512","50","3",8,0
"V612","50","3",8,1
"V712","50","3",12,0
"V812","50","3",10,0
"V912","50","3",18,0
"V1012","50","3",11,0
"V1112","50","3",16,0
"V1212","50","3",13,0
"V1312","50","3",12,3
"V1412","50","3",15,1
"V1512","50","3",14,0
"V1612","50","3",13,1
"V1712","50","3",8,2
"V1812","50","3",19,0
"V1912","50","3",17,1
"V2012","50","3",7,3
"V2112","50","3",17,0
"V2212","50","3",10,0
"V2312","50","3",12,0
"V2412","50","3",13,0
"V2512","50","3",17,1
"V2612","50","3",9,0
"V2712","50","3",19,0
"V2812","50","3",12,0
"V2912","50","3",16,0
"V302","50","3",12,0
"V313","50","3",8,0
"V322","50","3",12,0
"V332","50","3",14,1
"V342","50","3",11,0
"V352","50","3",7,0
"V362","50","3",12,0
"V372","50","3",14,0
"V382","50","3",8,0
"V392","50","3",14,0
"V402","50","3",20,0
"V413","50","3",19,0
"V422","50","3",9,1
"V432","50","3",8,0
"V442","50","3",13,0
"V452","50","3",9,3
"V462","50","3",16,0
"V472","50","3",12,0
"V482","50","3",14,0
"V492","50","3",8,0
"V502","50","3",24,0
"V513","50","3",11,0
"V522","50","3",8,0
"V532","50","3",16,0
"V542","50","3",12,0
"V552","50","3",9,0
"V562","50","3",9,0
"V572","50","3",14,0
"V582","50","3",8,0
"V592","50","3",7,1
"V602","50","3",10,0
"V613","50","3",10,2
"V622","50","3",11,2
"V632","50","3",11,2
"V642","50","3",14,0
"V652","50","3",19,1
"V662","50","3",8,1
"V672","50","3",11,1
"V682","50","3",15,0
"V692","50","3",9,0
"V702","50","3",12,1
"V713","50","3",16,0
"V722","50","3",10,0
"V732","50","3",11,2
"V742","50","3",21,0
"V752","50","3",7,2
"V762","50","3",13,0
"V772","50","3",13,0
"V782","50","3",12,0
"V792","50","3",16,0
"V802","50","3",13,0
"V813","50","3",7,1
"V822","50","3",16,0
"V832","50","3",12,0
"V842","50","3",10,1
"V852","50","3",9,0
"V862","50","3",11,0
"V872","50","3",11,1
"V882","50","3",12,0
"V892","50","3",19,0
"V902","50","3",6,0
"V913","50","3",16,2
"V922","50","3",12,1
"V932","50","3",11,0
"V942","50","3",12,0
"V952","50","3",14,0
"V962","50","3",8,0
"V972","50","3",11,0
"V982","50","3",13,1
"V992","50","3",19,0
"V1002","50","3",8,2
"V1013","50","3",7,1
"V1022","50","3",10,0
"V1032","50","3",9,2
"V1042","50","3",16,0
"V1052","50","3",19,0
"V1062","50","3",7,0
"V1072","50","3",14,0
"V1082","50","3",13,0
"V1092","50","3",11,0
"V1103","50","3",9,1
"V1113","50","3",9,0
"V1122","50","3",18,0
"V1132","50","3",15,1
"V1142","50","3",7,0
"V1152","50","3",10,0
"V1162","50","3",14,1
"V1172","50","3",16,0
"V1182","50","3",10,0
"V1192","50","3",11,1
"V1202","50","3",12,1
"V1213","50","3",11,2
"V1222","50","3",9,0
"V1232","50","3",13,2
"V1242","50","3",11,0
"V1252","50","3",14,0
"V1262","50","3",8,0
"V1272","50","3",9,1
"V1282","50","3",16,0
"V1292","50","3",7,0
"V1302","50","3",15,0
"V1313","50","3",9,0
"V1322","50","3",15,1
"V1332","50","3",10,3
"V1342","50","3",12,1
"V1352","50","3",14,1
"V1362","50","3",9,0
"V1372","50","3",9,0
"V1382","50","3",15,0
"V1392","50","3",9,0
"V1402","50","3",14,0
"V1413","50","3",11,0
"V1422","50","3",16,0
"V1432","50","3",6,2
"V1442","50","3",14,0
"V1452","50","3",10,0
"V1462","50","3",12,0
"V1472","50","3",16,0
"V1482","50","3",11,0
"V1492","50","3",16,0
"V1502","50","3",9,1
"V1513","50","3",9,0
"V1522","50","3",13,0
"V1532","50","3",20,0
"V1542","50","3",14,0
"V1552","50","3",12,0
"V1562","50","3",14,0
"V1572","50","3",6,0
"V1582","50","3",9,0
"V1592","50","3",11,0
"V1602","50","3",12,3
"V1613","50","3",10,0
"V1622","50","3",12,0
"V1632","50","3",28,0
"V1642","50","3",12,1
"V1652","50","3",6,1
"V1662","50","3",8,2
"V1672","50","3",22,0
"V1682","50","3",13,1
"V1692","50","3",9,0
"V1702","50","3",16,0
"V1713","50","3",9,0
"V1722","50","3",15,0
"V1732","50","3",8,1
"V1742","50","3",8,0
"V1752","50","3",21,0
"V1762","50","3",12,2
"V1772","50","3",8,0
"V1782","50","3",14,1
"V1792","50","3",10,2
"V1802","50","3",9,1
"V1813","50","3",23,0
"V1822","50","3",8,0
"V1832","50","3",17,1
"V1842","50","3",12,2
"V1852","50","3",11,0
"V1862","50","3",18,0
"V1872","50","3",9,1
"V1882","50","3",16,0
"V1892","50","3",8,1
"V1902","50","3",10,0
"V1913","50","3",13,0
"V1922","50","3",16,0
"V1932","50","3",14,0
"V1942","50","3",12,0
"V1952","50","3",8,3
"V1962","50","3",10,0
"V1972","50","3",13,0
"V1982","50","3",7,2
"V1992","50","3",12,0
"V2002","50","3",19,0
"V2013","50","3",11,0
"V2022","50","3",16,1
"V2032","50","3",10,0
"V2042","50","3",8,0
"V2052","50","3",11,0
"V2062","50","3",10,1
"V2072","50","3",9,0
"V2082","50","3",11,0
"V2092","50","3",20,1
"V2103","50","3",14,0
"V2113","50","3",14,1
"V2122","50","3",11,1
"V2132","50","3",17,1
"V2142","50","3",17,0
"V2152","50","3",16,1
"V2162","50","3",8,1
"V2172","50","3",12,2
"V2182","50","3",14,1
"V2192","50","3",8,0
"V2202","50","3",28,0
"V2213","50","3",16,1
"V2222","50","3",8,0
"V2232","50","3",10,1
"V2242","50","3",7,0
"V2252","50","3",14,0
"V2262","50","3",13,1
"V2272","50","3",10,0
"V2282","50","3",16,0
"V2292","50","3",9,1
"V2302","50","3",20,0
"V2313","50","3",11,1
"V2322","50","3",11,0
"V2332","50","3",10,0
"V2342","50","3",8,1
"V2352","50","3",12,0
"V2362","50","3",17,1
"V2372","50","3",14,0
"V2382","50","3",13,0
"V2392","50","3",12,0
"V2402","50","3",12,0
"V2413","50","3",14,1
"V2422","50","3",19,0
"V2432","50","3",12,0
"V2442","50","3",11,0
"V2452","50","3",9,0
"V2462","50","3",20,0
"V2472","50","3",7,0
"V2482","50","3",12,0
"V2492","50","3",14,0
"V2502","50","3",14,0
"V2513","50","3",7,1
"V2522","50","3",13,0
"V2532","50","3",13,1
"V2542","50","3",8,0
"V2552","50","3",8,1
"V2562","50","3",16,1
"V2572","50","3",7,0
"V2582","50","3",14,1
"V2592","50","3",14,1
"V2602","50","3",15,0
"V2613","50","3",16,0
"V2622","50","3",7,1
"V2632","50","3",14,0
"V2642","50","3",17,2
"V2652","50","3",8,3
"V2662","50","3",16,0
"V2672","50","3",19,1
"V2682","50","3",7,0
"V2692","50","3",6,1
"V2702","50","3",15,0
"V2713","50","3",11,0
"V2722","50","3",16,0
"V2732","50","3",14,0
"V2742","50","3",11,0
"V2752","50","3",12,0
"V2762","50","3",14,1
"V2772","50","3",13,0
"V2782","50","3",12,0
"V2792","50","3",17,0
"V2802","50","3",9,0
"V2813","50","3",10,1
"V2822","50","3",7,0
"V2832","50","3",9,1
"V2842","50","3",10,0
"V2852","50","3",11,0
"V2862","50","3",10,0
"V2872","50","3",8,0
"V2882","50","3",11,0
"V2892","50","3",14,0
"V2902","50","3",11,0
"V2913","50","3",22,0
"V2922","50","3",6,3
"V2932","50","3",15,0
"V2942","50","3",10,0
"V2952","50","3",12,1
"V2962","50","3",16,0
"V2972","50","3",19,0
"V2982","50","3",9,1
"V2992","50","3",10,0
"V3002","50","3",19,0
"V1104","50","4",11,0
"V2104","50","4",14,0
"V314","50","4",21,0
"V414","50","4",9,0
"V514","50","4",7,0
"V614","50","4",9,1
"V714","50","4",30,0
"V814","50","4",9,0
"V914","50","4",10,0
"V1014","50","4",10,0
"V1114","50","4",18,1
"V1214","50","4",13,2
"V1314","50","4",14,0
"V1414","50","4",16,1
"V1514","50","4",12,0
"V1614","50","4",12,1
"V1714","50","4",12,0
"V1814","50","4",9,0
"V1914","50","4",10,0
"V2014","50","4",10,0
"V2114","50","4",12,2
"V2214","50","4",16,0
"V2314","50","4",17,0
"V2414","50","4",6,3
"V2514","50","4",21,1
"V2614","50","4",10,0
"V2714","50","4",25,0
"V2814","50","4",13,0
"V2914","50","4",14,1
"V303","50","4",10,0
"V315","50","4",7,0
"V323","50","4",17,0
"V333","50","4",12,0
"V343","50","4",10,0
"V353","50","4",17,0
"V363","50","4",14,1
"V373","50","4",15,0
"V383","50","4",7,0
"V393","50","4",9,1
"V403","50","4",14,0
"V415","50","4",18,1
"V423","50","4",18,0
"V433","50","4",12,0
"V443","50","4",12,0
"V453","50","4",16,0
"V463","50","4",16,1
"V473","50","4",18,0
"V483","50","4",12,0
"V493","50","4",14,0
"V503","50","4",15,1
"V515","50","4",8,0
"V523","50","4",6,1
"V533","50","4",19,1
"V543","50","4",13,1
"V553","50","4",13,0
"V563","50","4",11,0
"V573","50","4",10,0
"V583","50","4",14,1
"V593","50","4",14,1
"V603","50","4",8,0
"V615","50","4",10,0
"V623","50","4",21,2
"V633","50","4",14,1
"V643","50","4",14,0
"V653","50","4",11,0
"V663","50","4",13,0
"V673","50","4",8,0
"V683","50","4",18,0
"V693","50","4",14,0
"V703","50","4",10,0
"V715","50","4",15,1
"V723","50","4",12,0
"V733","50","4",18,0
"V743","50","4",12,0
"V753","50","4",13,1
"V763","50","4",17,0
"V773","50","4",10,0
"V783","50","4",9,0
"V793","50","4",6,0
"V803","50","4",11,0
"V815","50","4",14,2
"V823","50","4",9,0
"V833","50","4",9,1
"V843","50","4",17,0
"V853","50","4",12,0
"V863","50","4",16,0
"V873","50","4",15,0
"V883","50","4",15,0
"V893","50","4",9,0
"V903","50","4",13,0
"V915","50","4",14,0
"V923","50","4",10,0
"V933","50","4",10,0
"V943","50","4",9,0
"V953","50","4",12,0
"V963","50","4",10,0
"V973","50","4",11,0
"V983","50","4",20,0
"V993","50","4",12,0
"V1003","50","4",15,0
"V1015","50","4",18,0
"V1023","50","4",8,0
"V1033","50","4",9,0
"V1043","50","4",8,0
"V1053","50","4",14,0
"V1063","50","4",14,0
"V1073","50","4",10,1
"V1083","50","4",14,0
"V1093","50","4",13,2
"V1105","50","4",16,1
"V1115","50","4",12,0
"V1123","50","4",11,0
"V1133","50","4",13,0
"V1143","50","4",12,0
"V1153","50","4",14,0
"V1163","50","4",22,0
"V1173","50","4",14,0
"V1183","50","4",6,0
"V1193","50","4",15,0
"V1203","50","4",16,0
"V1215","50","4",9,0
"V1223","50","4",12,0
"V1233","50","4",19,0
"V1243","50","4",14,0
"V1253","50","4",10,1
"V1263","50","4",13,0
"V1273","50","4",20,0
"V1283","50","4",15,0
"V1293","50","4",20,0
"V1303","50","4",8,0
"V1315","50","4",18,0
"V1323","50","4",12,0
"V1333","50","4",10,0
"V1343","50","4",9,0
"V1353","50","4",10,0
"V1363","50","4",8,0
"V1373","50","4",16,0
"V1383","50","4",11,0
"V1393","50","4",17,0
"V1403","50","4",10,0
"V1415","50","4",12,0
"V1423","50","4",10,2
"V1433","50","4",10,0
"V1443","50","4",12,0
"V1453","50","4",14,0
"V1463","50","4",17,0
"V1473","50","4",10,0
"V1483","50","4",12,0
"V1493","50","4",13,0
"V1503","50","4",14,0
"V1515","50","4",11,0
"V1523","50","4",10,0
"V1533","50","4",11,0
"V1543","50","4",14,0
"V1553","50","4",14,0
"V1563","50","4",16,0
"V1573","50","4",19,0
"V1583","50","4",10,0
"V1593","50","4",10,0
"V1603","50","4",9,0
"V1615","50","4",12,0
"V1623","50","4",17,0
"V1633","50","4",15,2
"V1643","50","4",10,0
"V1653","50","4",5,0
"V1663","50","4",15,0
"V1673","50","4",12,0
"V1683","50","4",6,0
"V1693","50","4",9,0
"V1703","50","4",16,0
"V1715","50","4",15,0
"V1723","50","4",19,0
"V1733","50","4",14,0
"V1743","50","4",21,0
"V1753","50","4",12,0
"V1763","50","4",11,0
"V1773","50","4",13,1
"V1783","50","4",8,0
"V1793","50","4",9,0
"V1803","50","4",13,0
"V1815","50","4",10,0
"V1823","50","4",12,0
"V1833","50","4",12,0
"V1843","50","4",12,0
"V1853","50","4",10,0
"V1863","50","4",11,0
"V1873","50","4",10,1
"V1883","50","4",17,1
"V1893","50","4",16,0
"V1903","50","4",24,0
"V1915","50","4",13,0
"V1923","50","4",10,0
"V1933","50","4",13,1
"V1943","50","4",16,0
"V1953","50","4",11,0
"V1963","50","4",13,0
"V1973","50","4",14,3
"V1983","50","4",12,1
"V1993","50","4",10,0
"V2003","50","4",17,0
"V2015","50","4",15,0
"V2023","50","4",9,0
"V2033","50","4",11,0
"V2043","50","4",9,0
"V2053","50","4",12,0
"V2063","50","4",16,0
"V2073","50","4",9,2
"V2083","50","4",11,0
"V2093","50","4",18,0
"V2105","50","4",13,0
"V2115","50","4",10,0
"V2123","50","4",12,0
"V2133","50","4",10,0
"V2143","50","4",11,0
