"","Largo","Dimensión","Semilla"
"306",15,40,20
"307",30,40,20
"308",13,40,20
"309",102,40,20
"310",66,40,20
"311",38,40,20
"312",30,40,20
"313",12,40,20
"314",74,40,20
"315",9,40,20
"316",37,40,20
"317",42,40,20
"318",10,40,20
"319",7,40,20
"320",14,40,20
"321",73,40,20
"322",49,40,20
"323",66,40,20
"324",100,40,20
"325",81,40,20
"326",7,40,20
"327",13,40,20
"328",14,40,20
"329",89,40,20
"330",146,40,20
"331",17,40,20
"332",39,40,20
"333",8,40,20
"334",48,40,20
"335",11,40,20
"336",6,40,20
"337",18,40,20
"338",22,40,20
"339",88,40,20
"340",6,40,20
"341",75,40,20
"342",31,40,20
"343",11,40,20
"344",7,40,20
"345",10,40,20
"346",9,40,20
"347",8,40,20
"348",106,40,20
"349",16,40,20
"350",15,40,20
"351",8,40,20
"352",11,40,20
"353",12,40,20
"354",19,40,20
"355",13,40,20
"356",21,40,20
"357",20,40,20
"358",4,40,20
"359",3,40,20
"360",24,40,20
"361",39,40,20
"362",108,40,20
"363",15,40,20
"364",18,40,20
"365",6,40,20
"366",9,40,20
"367",40,40,20
"368",45,40,20
"369",9,40,20
"370",8,40,20
"371",12,40,20
"372",14,40,20
"373",11,40,20
"374",21,40,20
"375",30,40,20
"376",10,40,20
"377",16,40,20
"378",81,40,20
"379",98,40,20
"380",13,40,20
"381",23,40,20
"382",33,40,20
"383",4,40,20
"384",20,40,20
"385",64,40,20
"386",11,40,20
"387",34,40,20
"388",8,40,20
"389",24,40,20
"390",16,40,20
"391",9,40,20
"392",6,40,20
"393",10,40,20
"394",10,40,20
"395",13,40,20
"396",97,40,20
"397",36,40,20
"398",9,40,20
"399",13,40,20
"400",7,40,20
"401",41,40,50
"402",8,40,50
"403",78,40,50
"404",97,40,50
"405",134,40,50
"406",97,40,50
"407",31,40,50
"408",56,40,50
"409",61,40,50
"410",176,40,50
"411",53,40,50
"412",116,40,50
"413",30,40,50
"414",47,40,50
"415",92,40,50
"416",6,40,50
"417",80,40,50
"418",7,40,50
"419",6,40,50
"420",78,40,50
"421",41,40,50
"422",85,40,50
"423",42,40,50
"424",83,40,50
"425",73,40,50
"426",26,40,50
"427",11,40,50
"428",101,40,50
"429",112,40,50
"430",31,40,50
"431",47,40,50
"432",40,40,50
"433",32,40,50
"434",103,40,50
"435",18,40,50
"436",158,40,50
"437",83,40,50
"438",23,40,50
"439",91,40,50
"440",120,40,50
"441",22,40,50
"442",287,40,50
"443",153,40,50
"444",28,40,50
"445",114,40,50
"446",19,40,50
"447",26,40,50
"448",67,40,50
"449",45,40,50
"450",28,40,50
"451",120,40,50
"452",98,40,50
"453",28,40,50
"454",35,40,50
"455",36,40,50
"456",93,40,50
"457",63,40,50
"458",68,40,50
"459",34,40,50
"460",8,40,50
"461",71,40,50
"462",30,40,50
"463",54,40,50
"464",85,40,50
"465",53,40,50
"466",57,40,50
"467",84,40,50
"468",70,40,50
"469",55,40,50
"470",28,40,50
"471",122,40,50
"472",51,40,50
"473",20,40,50
"474",85,40,50
"475",4,40,50
"476",47,40,50
"477",19,40,50
"478",124,40,50
"479",78,40,50
"480",120,40,50
"481",98,40,50
"482",41,40,50
"483",41,40,50
"484",27,40,50
"485",23,40,50
"486",89,40,50
"487",101,40,50
"488",81,40,50
"489",27,40,50
"490",59,40,50
"491",99,40,50
"492",72,40,50
"493",41,40,50
"494",65,40,50
"495",32,40,50
"496",106,40,50
"497",3,40,50
"498",70,40,50
"499",30,40,50
"500",23,40,50
"501",47,40,50
"502",53,40,50
"503",9,40,50
"504",6,40,50
"505",166,40,50
"506",30,40,50
"507",4,40,50
"508",13,40,50
"509",35,40,50
"510",9,40,50
"511",133,40,50
"512",6,40,50
"513",56,40,50
"514",115,40,50
"515",120,40,50
"516",38,40,50
"517",41,40,50
"518",111,40,50
"519",202,40,50
"520",68,40,50
"521",148,40,50
"522",16,40,50
"523",73,40,50
"524",10,40,50
"525",28,40,50
"526",52,40,50
"527",65,40,50
"528",145,40,50
"529",59,40,50
"530",91,40,50
"531",119,40,50
"532",92,40,50
"533",22,40,50
"534",76,40,50
"535",78,40,50
"536",39,40,50
"537",3,40,50
"538",57,40,50
"539",15,40,50
"540",83,40,50
"541",35,40,50
"542",96,40,50
"543",42,40,50
"544",39,40,50
"545",36,40,50
"546",84,40,50
"547",69,40,50
"548",112,40,50
"549",19,40,50
"550",60,40,50
"551",238,40,50
"552",39,40,50
"553",51,40,50
"554",125,40,50
"555",93,40,50
"556",181,40,50
"557",249,40,50
"558",38,40,50
"559",57,40,50
"560",139,40,50
"561",33,40,50
"562",28,40,50
"563",29,40,50
"564",28,40,50
"565",58,40,50
"566",19,40,50
"567",185,40,50
"568",45,40,50
"569",32,40,50
"570",23,40,50
"571",86,40,50
"572",84,40,50
"573",22,40,50
"574",14,40,50
"575",42,40,50
"576",53,40,50
"577",54,40,50
"578",82,40,50
"579",5,40,50
"580",48,40,50
"581",52,40,50
"582",67,40,50
"583",9,40,50
"584",222,40,50
"585",25,40,50
"586",55,40,50
"587",9,40,50
"588",109,40,50
"589",107,40,50
"590",28,40,50
"591",59,40,50
"592",76,40,50
"593",163,40,50
"594",13,40,50
"595",8,40,50
"596",228,40,50
"597",52,40,50
"598",64,40,50
"599",38,40,50
"600",45,40,50
"601",138,40,70
"602",115,40,70
"603",45,40,70
"604",23,40,70
"605",6,40,70
"606",245,40,70
"607",36,40,70
"608",46,40,70
"609",80,40,70
"610",89,40,70
"611",54,40,70
"612",20,40,70
"613",49,40,70
"614",31,40,70
"615",50,40,70
"616",38,40,70
"617",71,40,70
"618",72,40,70
"619",82,40,70
"620",56,40,70
"621",19,40,70
"622",76,40,70
"623",40,40,70
"624",107,40,70
"625",21,40,70
"626",35,40,70
"627",88,40,70
"628",109,40,70
"629",287,40,70
"630",49,40,70
"631",45,40,70
"632",89,40,70
"633",99,40,70
"634",141,40,70
"635",128,40,70
"636",64,40,70
"637",79,40,70
"638",181,40,70
"639",76,40,70
"640",12,40,70
"641",115,40,70
"642",22,40,70
"643",177,40,70
"644",200,40,70
"645",11,40,70
"646",130,40,70
"647",180,40,70
"648",191,40,70
"649",125,40,70
"650",9,40,70
"651",129,40,70
"652",98,40,70
"653",99,40,70
"654",34,40,70
"655",209,40,70
"656",328,40,70
"657",19,40,70
"658",164,40,70
"659",50,40,70
"660",6,40,70
"661",50,40,70
"662",115,40,70
"663",22,40,70
"664",15,40,70
"665",25,40,70
"666",54,40,70
"667",55,40,70
"668",18,40,70
"669",93,40,70
"670",36,40,70
"671",38,40,70
"672",109,40,70
"673",103,40,70
"674",17,40,70
"675",47,40,70
"676",50,40,70
"677",23,40,70
"678",37,40,70
"679",170,40,70
"680",21,40,70
"681",209,40,70
"682",8,40,70
"683",50,40,70
"684",56,40,70
"685",272,40,70
"686",17,40,70
"687",264,40,70
"688",151,40,70
"689",28,40,70
"690",6,40,70
"691",8,40,70
"692",37,40,70
"693",51,40,70
"694",179,40,70
"695",139,40,70
"696",7,40,70
"697",13,40,70
"698",63,40,70
"699",80,40,70
"700",53,40,70
"701",135,40,70
"702",173,40,70
"703",70,40,70
"704",160,40,70
"705",14,40,70
"706",62,40,70
"707",96,40,70
"708",126,40,70
"709",48,40,70
"710",137,40,70
"711",108,40,70
"712",4,40,70
"713",114,40,70
"714",57,40,70
"715",50,40,70
"716",83,40,70
"717",54,40,70
"718",74,40,70
"719",96,40,70
"720",73,40,70
"721",48,40,70
"722",117,40,70
"723",59,40,70
"724",130,40,70
"725",100,40,70
"726",81,40,70
"727",15,40,70
"728",95,40,70
"729",45,40,70
"730",199,40,70
"731",248,40,70
"732",63,40,70
"733",38,40,70
"734",167,40,70
"735",4,40,70
"736",27,40,70
"737",141,40,70
"738",136,40,70
"739",102,40,70
"740",16,40,70
"741",134,40,70
"742",31,40,70
"743",16,40,70
"744",16,40,70
"745",72,40,70
"746",3,40,70
"747",111,40,70
"748",134,40,70
"749",56,40,70
"750",77,40,70
"751",31,40,70
"752",34,40,70
"753",6,40,70
"754",48,40,70
"755",208,40,70
"756",86,40,70
"757",39,40,70
"758",209,40,70
"759",37,40,70
"760",330,40,70
"761",15,40,70
"762",128,40,70
"763",225,40,70
"764",23,40,70
"765",17,40,70
"766",110,40,70
"767",11,40,70
"768",11,40,70
"769",25,40,70
"770",18,40,70
"771",23,40,70
"772",100,40,70
"773",100,40,70
"774",54,40,70
"775",14,40,70
"776",15,40,70
"777",36,40,70
"778",43,40,70
"779",53,40,70
"780",61,40,70
"781",10,40,70
"782",33,40,70
"783",192,40,70
"784",52,40,70
"785",40,40,70
"786",47,40,70
"787",339,40,70
"788",134,40,70
"789",103,40,70
"790",215,40,70
"791",137,40,70
"792",88,40,70
"793",73,40,70
"794",10,40,70
"795",23,40,70
"796",114,40,70
"797",38,40,70
"798",54,40,70
"799",77,40,70
"800",2,40,70
"801",131,40,100
"802",106,40,100
"803",20,40,100
"804",70,40,100
"805",98,40,100
"806",14,40,100
"807",139,40,100
"808",50,40,100
"809",5,40,100
"810",112,40,100
"811",134,40,100
"812",64,40,100
"813",106,40,100
"814",9,40,100
"815",41,40,100
"816",50,40,100
"817",53,40,100
"818",132,40,100
"819",19,40,100
"820",123,40,100
"821",247,40,100
"822",22,40,100
"823",97,40,100
"824",25,40,100
"825",67,40,100
"826",52,40,100
"827",136,40,100
"828",5,40,100
"829",27,40,100
"830",119,40,100
"831",19,40,100
"832",13,40,100
"833",15,40,100
"834",32,40,100
"835",18,40,100
"836",63,40,100
"837",211,40,100
"838",96,40,100
"839",39,40,100
"840",72,40,100
"841",111,40,100
"842",17,40,100
"843",36,40,100
"844",30,40,100
"845",24,40,100
"846",45,40,100
"847",21,40,100
"848",42,40,100
"849",47,40,100
"850",101,40,100
"851",197,40,100
"852",17,40,100
"853",122,40,100
"854",112,40,100
"855",73,40,100
"856",124,40,100
"857",412,40,100
"858",143,40,100
"859",351,40,100
"860",34,40,100
"861",159,40,100
"862",29,40,100
"863",106,40,100
"864",179,40,100
"865",208,40,100
"866",3,40,100
"867",46,40,100
"868",116,40,100
"869",10,40,100
"870",251,40,100
"871",72,40,100
"872",22,40,100
"873",238,40,100
"874",35,40,100
"875",83,40,100
"876",192,40,100
"877",39,40,100
"878",121,40,100
"879",62,40,100
"880",33,40,100
"881",342,40,100
"882",44,40,100
"883",20,40,100
"884",232,40,100
"885",108,40,100
"886",43,40,100
"887",120,40,100
"888",487,40,100
"889",104,40,100
"890",101,40,100
"891",106,40,100
"892",193,40,100
"893",65,40,100
"894",280,40,100
"895",422,40,100
"896",65,40,100
"897",13,40,100
"898",38,40,100
"899",43,40,100
"900",207,40,100
"901",9,40,100
"902",57,40,100
"903",21,40,100
"904",154,40,100
"905",208,40,100
"906",34,40,100
"907",165,40,100
"908",141,40,100
"909",110,40,100
"910",94,40,100
"911",135,40,100
"912",10,40,100
"913",84,40,100
"914",7,40,100
"915",139,40,100
"916",10,40,100
"917",250,40,100
"918",61,40,100
"919",111,40,100
"920",127,40,100
"921",33,40,100
"922",148,40,100
"923",196,40,100
"924",8,40,100
"925",45,40,100
"926",65,40,100
"927",195,40,100
"928",54,40,100
"929",48,40,100
"930",87,40,100
"931",79,40,100
"932",65,40,100
"933",76,40,100
"934",41,40,100
"935",30,40,100
"936",188,40,100
"937",130,40,100
"938",82,40,100
"939",206,40,100
"940",177,40,100
"941",223,40,100
"942",32,40,100
"943",7,40,100
"944",19,40,100
"945",187,40,100
"946",18,40,100
"947",354,40,100
"948",21,40,100
"949",59,40,100
"950",177,40,100
"951",273,40,100
"952",110,40,100
"953",8,40,100
"954",40,40,100
"955",108,40,100
"956",87,40,100
"957",52,40,100
"958",116,40,100
"959",158,40,100
"960",32,40,100
"961",214,40,100
"962",25,40,100
"963",130,40,100
"964",115,40,100
"965",4,40,100
"966",26,40,100
"967",83,40,100
"968",94,40,100
"969",160,40,100
"970",188,40,100
"971",112,40,100
"972",193,40,100
"973",148,40,100
"974",96,40,100
"975",238,40,100
"976",88,40,100
"977",83,40,100
"978",343,40,100
"979",94,40,100
"980",266,40,100
"981",52,40,100
"982",11,40,100
"983",153,40,100
"984",196,40,100
"985",106,40,100
"986",192,40,100
"987",56,40,100
"988",163,40,100
"989",39,40,100
"990",45,40,100
"991",2,40,100
"992",140,40,100
"993",105,40,100
"994",62,40,100
"995",108,40,100
"996",13,40,100
"997",108,40,100
"998",185,40,100
"999",275,40,100
"1000",30,40,100
"1001",11,100,12
"1002",33,100,12
"1003",39,100,12
"1004",11,100,12
"1005",9,100,12
"1006",10,100,12
"1007",13,100,12
"1008",10,100,12
"1009",18,100,12
"1010",17,100,12
"1011",30,100,12
"1012",13,100,12
"1013",12,100,12
"1014",7,100,12
"1015",18,100,12
"1016",9,100,12
"1017",26,100,12
"1018",9,100,12
"1019",10,100,12
"1020",13,100,12
"1021",27,100,12
"1022",15,100,12
"1023",11,100,12
"1024",18,100,12
"1025",16,100,12
"1026",18,100,12
"1027",13,100,12
"1028",20,100,12
"1029",15,100,12
"1030",12,100,12
"1031",17,100,12
"1032",14,100,12
"1033",11,100,12
"1034",17,100,12
"1035",8,100,12
"1036",11,100,12
"1037",52,100,12
"1038",11,100,12
"1039",13,100,12
"1040",22,100,12
"1041",4,100,12
"1042",15,100,12
"1043",16,100,12
"1044",3,100,12
"1045",9,100,12
"1046",3,100,12
"1047",9,100,12
"1048",10,100,12
"1049",45,100,12
"1050",24,100,12
"1051",5,100,12
"1052",7,100,12
"1053",16,100,12
"1054",11,100,12
"1055",9,100,12
"1056",13,100,12
"1057",5,100,12
"1058",11,100,12
"1059",13,100,12
"1060",10,100,12
"1061",10,100,12
"1062",10,100,12
"1063",3,100,12
"1064",13,100,12
"1065",10,100,12
"1066",6,100,12
"1067",17,100,12
"1068",45,100,12
"1069",20,100,12
"1070",36,100,12
"1071",12,100,12
"1072",33,100,12
"1073",45,100,12
"1074",35,100,12
"1075",26,100,12
"1076",22,100,12
"1077",17,100,12
"1078",9,100,12
"1079",6,100,12
"1080",14,100,12
"1081",7,100,12
"1082",25,100,12
"1083",19,100,12
"1084",11,100,12
"1085",15,100,12
"1086",19,100,12
"1087",13,100,12
"1088",15,100,12
"1089",5,100,12
"1090",4,100,12
"1091",13,100,12
"1092",14,100,12
"1093",39,100,12
"1094",11,100,12
"1095",31,100,12
"1096",17,100,12
"1097",18,100,12
"1098",43,100,12
"1099",13,100,12
"1100",12,100,12
"1101",18,100,12
"1102",22,100,12
"1103",14,100,12
"1104",18,100,12
"1105",44,100,12
"1106",31,100,12
"1107",25,100,12
"1108",49,100,12
"1109",19,100,12
"1110",4,100,12
"1111",22,100,12
"1112",30,100,12
"1113",18,100,12
"1114",4,100,12
"1115",24,100,12
"1116",20,100,12
"1117",15,100,12
"1118",16,100,12
"1119",11,100,12
"1120",14,100,12
"1121",18,100,12
"1122",16,100,12
"1123",17,100,12
"1124",14,100,12
"1125",16,100,12
"1126",10,100,12
"1127",22,100,12
"1128",7,100,12
"1129",52,100,12
"1130",13,100,12
"1131",22,100,12
"1132",11,100,12
"1133",10,100,12
"1134",11,100,12
"1135",22,100,12
"1136",13,100,12
"1137",4,100,12
"1138",22,100,12
"1139",11,100,12
"1140",8,100,12
"1141",50,100,12
"1142",25,100,12
"1143",11,100,12
"1144",8,100,12
"1145",35,100,12
"1146",15,100,12
"1147",15,100,12
"1148",41,100,12
"1149",7,100,12
"1150",16,100,12
"1151",19,100,12
"1152",15,100,12
"1153",15,100,12
"1154",24,100,12
"1155",17,100,12
"1156",5,100,12
"1157",18,100,12
"1158",2,100,12
"1159",23,100,12
"1160",26,100,12
"1161",6,100,12
"1162",5,100,12
"1163",23,100,12
"1164",20,100,12
"1165",14,100,12
"1166",12,100,12
"1167",13,100,12
"1168",6,100,12
"1169",8,100,12
"1170",34,100,12
"1171",21,100,12
"1172",16,100,12
"1173",11,100,12
"1174",45,100,12
"1175",30,100,12
"1176",12,100,12
"1177",19,100,12
"1178",19,100,12
"1179",12,100,12
"1180",22,100,12
"1181",9,100,12
"1182",45,100,12
"1183",39,100,12
"1184",5,100,12
"1185",9,100,12
"1186",6,100,12
"1187",6,100,12
"1188",15,100,12
"1189",55,100,12
"1190",23,100,12
"1191",4,100,12
"1192",9,100,12
"1193",32,100,12
"1194",33,100,12
"1195",14,100,12
"1196",21,100,12
"1197",15,100,12
"1198",6,100,12
"1199",11,100,12
"1200",13,100,12
"1201",37,100,20
"1202",11,100,20
"1203",9,100,20
"1204",9,100,20
"1205",4,100,20
"1206",19,100,20
"1207",8,100,20
"1208",17,100,20
"1209",6,100,20
"1210",15,100,20
"1211",12,100,20
"1212",11,100,20
"1213",50,100,20
"1214",13,100,20
"1215",7,100,20
"1216",13,100,20
"1217",25,100,20
"1218",21,100,20
"1219",21,100,20
"1220",24,100,20
"1221",26,100,20
"1222",23,100,20
"1223",15,100,20
"1224",4,100,20
"1225",5,100,20
"1226",20,100,20
"1227",11,100,20
"1228",9,100,20
"1229",20,100,20
"1230",5,100,20
"1231",7,100,20
"1232",24,100,20
"1233",5,100,20
"1234",42,100,20
"1235",21,100,20
"1236",6,100,20
"1237",10,100,20
"1238",22,100,20
"1239",19,100,20
"1240",24,100,20
"1241",12,100,20
"1242",8,100,20
"1243",5,100,20
"1244",13,100,20
"1245",26,100,20
"1246",7,100,20
"1247",20,100,20
"1248",11,100,20
"1249",21,100,20
"1250",23,100,20
"1251",34,100,20
"1252",25,100,20
"1253",12,100,20
"1254",13,100,20
"1255",8,100,20
"1256",16,100,20
"1257",24,100,20
"1258",12,100,20
"1259",12,100,20
"1260",46,100,20
"1261",15,100,20
"1262",17,100,20
"1263",18,100,20
"1264",10,100,20
"1265",20,100,20
"1266",4,100,20
"1267",14,100,20
"1268",13,100,20
"1269",11,100,20
"1270",47,100,20
"1271",10,100,20
"1272",12,100,20
"1273",3,100,20
"1274",5,100,20
"1275",28,100,20
"1276",16,100,20
"1277",9,100,20
"1278",27,100,20
"1279",11,100,20
"1280",16,100,20
"1281",34,100,20
"1282",16,100,20
"1283",21,100,20
"1284",11,100,20
"1285",17,100,20
"1286",10,100,20
"1287",13,100,20
"1288",7,100,20
"1289",7,100,20
"1290",10,100,20
"1291",7,100,20
"1292",10,100,20
"1293",26,100,20
"1294",17,100,20
"1295",15,100,20
"1296",36,100,20
"1297",26,100,20
"1298",62,100,20
"1299",11,100,20
"1300",15,100,20
"1301",6,100,20
"1302",14,100,20
"1303",10,100,20
"1304",10,100,20
"1305",37,100,20
"1306",17,100,20
"1307",5,100,20
"1308",13,100,20
"1309",11,100,20
"1310",8,100,20
"1311",25,100,20
"1312",4,100,20
"1313",24,100,20
"1314",22,100,20
"1315",11,100,20
"1316",4,100,20
"1317",13,100,20
"1318",5,100,20
"1319",21,100,20
"1320",42,100,20
"1321",14,100,20
"1322",24,100,20
"1323",10,100,20
"1324",3,100,20
"1325",8,100,20
"1326",11,100,20
"1327",7,100,20
"1328",11,100,20
"1329",10,100,20
"1330",13,100,20
"1331",3,100,20
"1332",31,100,20
"1333",3,100,20
"1334",20,100,20
"1335",12,100,20
"1336",6,100,20
"1337",14,100,20
"1338",30,100,20
"1339",19,100,20
"1340",17,100,20
"1341",18,100,20
"1342",19,100,20
"1343",9,100,20
"1344",37,100,20
"1345",13,100,20
"1346",10,100,20
"1347",6,100,20
"1348",20,100,20
"1349",51,100,20
"1350",21,100,20
"1351",6,100,20
"1352",16,100,20
"1353",53,100,20
"1354",15,100,20
"1355",12,100,20
"1356",69,100,20
"1357",8,100,20
"1358",9,100,20
"1359",8,100,20
"1360",18,100,20
"1361",12,100,20
"1362",15,100,20
"1363",20,100,20
"1364",12,100,20
"1365",5,100,20
"1366",36,100,20
"1367",16,100,20
"1368",13,100,20
"1369",16,100,20
"1370",16,100,20
"1371",17,100,20
"1372",31,100,20
"1373",7,100,20
"1374",17,100,20
"1375",46,100,20
"1376",4,100,20
"1377",13,100,20
"1378",70,100,20
"1379",11,100,20
"1380",40,100,20
"1381",8,100,20
"1382",10,100,20
"1383",36,100,20
"1384",6,100,20
"1385",17,100,20
"1386",13,100,20
"1387",25,100,20
"1388",10,100,20
"1389",2,100,20
"1390",7,100,20
"1391",13,100,20
"1392",12,100,20
"1393",26,100,20
"1394",26,100,20
"1395",14,100,20
"1396",51,100,20
"1397",10,100,20
"1398",9,100,20
"1399",26,100,20
"1400",9,100,20
"1401",49,100,50
"1402",10,100,50
"1403",3,100,50
"1404",23,100,50
"1405",55,100,50
"1406",15,100,50
"1407",10,100,50
"1408",16,100,50
"1409",20,100,50
"1410",13,100,50
"1411",21,100,50
"1412",26,100,50
"1413",18,100,50
"1414",10,100,50
"1415",46,100,50
"1416",34,100,50
"1417",11,100,50
"1418",10,100,50
"1419",13,100,50
"1420",10,100,50
"1421",19,100,50
"1422",14,100,50
"1423",16,100,50
"1424",26,100,50
"1425",48,100,50
"1426",10,100,50
"1427",35,100,50
"1428",11,100,50
"1429",6,100,50
"1430",51,100,50
"1431",9,100,50
"1432",33,100,50
"1433",31,100,50
"1434",9,100,50
"1435",15,100,50
"1436",27,100,50
"1437",44,100,50
"1438",23,100,50
"1439",12,100,50
"1440",11,100,50
"1441",15,100,50
"1442",43,100,50
"1443",45,100,50
"1444",7,100,50
"1445",11,100,50
"1446",10,100,50
"1447",14,100,50
"1448",8,100,50
"1449",38,100,50
"1450",24,100,50
"1451",41,100,50
"1452",21,100,50
"1453",22,100,50
"1454",41,100,50
"1455",16,100,50
"1456",47,100,50
"1457",16,100,50
"1458",4,100,50
"1459",55,100,50
"1460",6,100,50
"1461",15,100,50
"1462",11,100,50
"1463",19,100,50
"1464",8,100,50
"1465",8,100,50
"1466",8,100,50
"1467",6,100,50
"1468",31,100,50
"1469",5,100,50
"1470",61,100,50
"1471",12,100,50
"1472",44,100,50
"1473",73,100,50
"1474",15,100,50
"1475",11,100,50
"1476",33,100,50
"1477",25,100,50
"1478",4,100,50
"1479",3,100,50
"1480",8,100,50
"1481",16,100,50
"1482",57,100,50
"1483",18,100,50
"1484",11,100,50
"1485",9,100,50
"1486",16,100,50
"1487",31,100,50
"1488",13,100,50
"1489",39,100,50
"1490",24,100,50
"1491",5,100,50
"1492",48,100,50
"1493",20,100,50
"1494",41,100,50
"1495",11,100,50
"1496",15,100,50
